"","Latitude","Longitude","ml","Bearing"
"518",39.7,44,1.2,4.76168891449232
"519",39.15,26.34,1.1,1.44950484829345
"520",35,27,1,0.740655122796937
"521",39.72,39.24,1.4,4.72080088850926
"522",37.39,31.18,1.6,0.448581402903172
"523",38,44.5,1.3,4.94348898099345
"524",38,44.5,1.1,4.94348898099345
"525",38,44.5,1.3,4.94348898099345
"526",38,44.5,1,4.94348898099345
"527",37.98,44.48,3,4.94568918702678
"528",37.21,44.57,1.3,5.0211427417929
"529",38.52,39.4,1,4.94371613409621
"530",35.44,27.31,1.2,0.762439943603363
"531",36.8,26.5,1.1,1.01226668796649
"532",40.2,37.9,1.8,4.59110302030936
"533",36.63,26.68,1,0.973975029595817
"534",40.22,33.67,1.5,4.07729244178744
"535",38.05,27.32,1.3,1.18618563036822
"536",39.64,29.14,1.8,1.57847977040736
"537",38.1,27.4,1.1,1.19232910940854
"538",38.18,27.8,2.1,1.18612318372803
"539",40.99,30.86,1.2,2.39587934185539
"540",36.19,31.08,1.3,0.322095266340506
"541",35.45,26.39,1.3,0.839430642427995
"542",39,31,1.1,1.11782162529478
"543",40.13,30.72,1.5,1.94040383943835
"544",40.94,43.88,1.7,4.62057618425852
"545",40.7,43.7,1.1,4.64453465687708
"546",36.52,26.69,1,0.9568911167515
"547",36.5,27.5,1.2,0.887776723873198
"548",36.54,27.33,3,0.908970256451817
"549",35.9,28.97,1.3,0.638930264588785
"550",35.8,29.5,1.2,0.553865055435285
"551",35.8,29.5,1,0.553865055435285
"552",35.8,29.5,1.1,0.553865055435285
"553",35.88,29.84,1.3,0.512200235128204
"554",35.84,29.5,2.3,0.558589339710827
"555",37,35,1.3,5.65002697978134
"556",37.03,29.43,1.8,0.750859303062452
"557",36.8,27.1,1.3,0.968872283636493
"558",38.53,28.19,1.5,1.24950138826254
"559",38.64,28.11,1.6,1.28334177909716
"560",37.4,30.4,1,0.64785562528898
"561",37.56,29.17,1.3,0.902954868903255
"562",38,30,1,0.888561676218867
"563",38.1,29.8,1.6,0.954677891781178
"564",41.3,43.6,1,4.57381030373057
"565",35.5,29,1.1,0.587178111549001
"566",35.5,29,1.4,0.587178111549001
"567",35.06,29.34,1.5,0.498855782947625
"568",41.33,43.41,1.7,4.56581034771375
"569",39.6,27.7,1.3,1.5518781289856
"570",38.55,30.78,1.6,0.921930686441978
"571",40.24,41.94,1,4.67300458343632
"572",39.96,41.94,2.3,4.7113404208132
"573",40,42,1.2,4.70657315809132
"574",39.51,28.4,1.2,1.52908287671414
"575",41.02,34.41,1.1,3.93131846986278
"576",41,30,1.3,2.19029435201427
"577",41.4,44.3,1.1,4.57881011123417
"578",40.07,36.43,1.6,4.56902719837327
"579",37.5,29,1.1,0.911769852237499
"580",35.61,27.68,1.6,0.74806128076071
"581",35.51,27.98,2.4,0.705780100192998
"582",35.36,27.7,2.1,0.716475752222235
"583",36.4,26.2,1.1,0.973800743689239
"584",38,37,1.2,5.15922542524431
"585",36.4,35.2,1.3,5.7110896049763
"586",38.42,31.79,1.3,0.466662559281388
"587",38.8,26.5,1.1,1.3752571911356
"588",37,28.7,1,0.846269270447483
"589",38.4,31.8,1.1,0.454491449168465
"590",36,28,1.3,0.766063910087468
"591",38.33,32.79,1.5,6.12840295003838
"592",37.89,28.35,1.5,1.07500205966007
"593",37.5,29,1.1,0.911769852237499
"594",36.75,26.64,1.3,0.995046285857784
"595",41.8,26.2,1.1,1.96711977274115
"596",39.26,26.71,2.5,1.47009169228282
"597",36,28,1.3,0.766063910087468
"598",35.2,34.7,1.3,5.91883859098008
"599",36,28,1.1,0.766063910087468
"600",41.16,33.2,1.5,3.45277980719049
"601",39.13,31.02,1.2,1.20553062792179
"602",36.6,26.7,1.1,0.968029640317593
"603",40.9,42.2,1.1,4.58958578198179
"604",37.8,27.3,1.1,1.13555926241904
"605",35.2,34.7,2.1,5.91883859098008
"606",35.6,26.5,1.1,0.848801830659293
